ID,Faction,Instance_ID,Supercedes,Title_lang[0],Title_lang[1],Title_lang[2],Title_lang[3],Title_lang[4],Title_lang[5],Title_lang[6],Title_lang[7],Title_lang[8],Title_lang[9],Title_lang[10],Title_lang[11],Title_lang[12],Title_lang[13],Title_lang[14],Title_lang[15],Title_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Category,Points,Ui_order,Flags,IconID,Reward_lang[0],Reward_lang[1],Reward_lang[2],Reward_lang[3],Reward_lang[4],Reward_lang[5],Reward_lang[6],Reward_lang[7],Reward_lang[8],Reward_lang[9],Reward_lang[10],Reward_lang[11],Reward_lang[12],Reward_lang[13],Reward_lang[14],Reward_lang[15],Reward_lang_mask,Minimum_criteria,Shares_criteria
319,-1,-1,0,Duels won,,,,,,,,,,,,,,,,16712190,Duels won,,,,,,,,,,,,,,,,16712190,154,0,1,1,4,,,,,,,,,,,,,,,,,16712174,0,0
321,-1,-1,0,Total raid and dungeon deaths,,,,,,,,,,,,,,,,16712190,Total raid and dungeon deaths,,,,,,,,,,,,,,,,16712190,125,0,1,9,4,,,,,,,,,,,,,,,,,16712174,0,0
328,-1,-1,0,Total gold acquired,,,,,,,,,,,,,,,,16712190,Total gold acquired,,,,,,,,,,,,,,,,16712190,140,0,1,9,4,,,,,,,,,,,,,,,,,16712174,0,0
344,-1,-1,0,Bandages used,,,,,,,,,,,,,,,,16712190,Bandages used,,,,,,,,,,,,,,,,16712190,145,0,1,9,4,,,,,,,,,,,,,,,,,16712174,0,0
349,-1,-1,0,Flight paths taken,,,,,,,,,,,,,,,,16712190,Flight paths taken,,,,,,,,,,,,,,,,16712190,134,0,1,1,4,,,,,,,,,,,,,,,,,16712174,0,0
377,-1,-1,0,Most factions at Exalted,,,,,,,,,,,,,,,,16712190,Most factions at Exalted,,,,,,,,,,,,,,,,16712190,147,0,1,1,4,,,,,,,,,,,,,,,,,16712174,0,0
397,-1,-1,0,Step Into The Arena,,,,,,,,,,,,,,,,16712190,Win a ranked arena match at level 80.,,,,,,,,,,,,,,,,16712190,165,10,1,0,3601,,,,,,,,,,,,,,,,,16712174,0,0
457,-1,-1,0,Realm First! Level 80,,,,,,,,,,,,,,,,16712190,First person on the realm to achieve level 80.,,,,,,,,,,,,,,,,16712190,81,0,1,256,3275,,,,,,,,,,,,,,,,,16712174,0,0
477,-1,574,0,Utgarde Keep,,,,,,,,,,,,,,,,16712190,Defeat the bosses in Utgarde Keep.,,,,,,,,,,,,,,,,16712190,14806,10,1,0,3226,,,,,,,,,,,,,,,,,16712174,0,0
489,-1,574,0,Heroic: Utgarde Keep,,,,,,,,,,,,,,,,16712190,Defeat the Utgarde Keep bosses on Heroic Difficulty.,,,,,,,,,,,,,,,,16712190,14921,10,1,0,3225,,,,,,,,,,,,,,,,,16712172,0,0
503,-1,-1,0,50 Quests Completed,,,,,,,,,,,,,,,,16712190,Complete 50 quests.,,,,,,,,,,,,,,,,16712190,96,10,1,0,3421,,,,,,,,,,,,,,,,,16712174,0,0
522,-1,-1,0,Somebody Likes Me,,,,,,,,,,,,,,,,16712190,Raise a reputation to Exalted.,,,,,,,,,,,,,,,,16712190,201,10,1,0,3609,,,,,,,,,,,,,,,,,16712174,0,0
588,-1,-1,0,Total Honorable Kills,,,,,,,,,,,,,,,,16712190,Total Honorable Kills,,,,,,,,,,,,,,,,16712190,136,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
605,-1,-1,0,A Coin of Ancestry,,,,,,,,,,,,,,,,16712190,Receive a Coin of Ancestry.,,,,,,,,,,,,,,,,16712190,160,10,1,0,2717,,,,,,,,,,,,,,,,,16712174,0,0
625,-1,615,0,Besting the Black Dragonflight (25 player),,,,,,,,,,,,,,,,16712190,Defeat Sartharion the Onyx Guardian in 25-player mode.,,,,,,,,,,,,,,,,16712190,14923,25,1,0,3255,,,,,,,,,,,,,,,,,16712172,0,0
629,-1,-1,0,Ragefire Chasm,,,,,,,,,,,,,,,,16712190,Defeat Taragaman the Hungerer.,,,,,,,,,,,,,,,,16712190,14808,10,1,0,1983,,,,,,,,,,,,,,,,,16712172,1,0
647,-1,-1,0,Hellfire Ramparts,,,,,,,,,,,,,,,,16712190,Defeat Omor the Unscarred.,,,,,,,,,,,,,,,,16712190,14805,10,1,0,3680,,,,,,,,,,,,,,,,,16712174,1,0
728,-1,-1,0,Explore Durotar,,,,,,,,,,,,,,,,16712190,"Explore Durotar, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14778,10,1,0,3532,,,,,,,,,,,,,,,,,16712174,0,0
763,0,-1,0,The Burning Crusader,,,,,,,,,,,,,,,,16712190,Raise all of The Burning Crusade dungeon reputations to exalted.,,,,,,,,,,,,,,,,16712190,14865,20,1,0,2365,,,,,,,,,,,,,,,,,16712174,0,0
776,-1,-1,0,Explore Elwynn Forest,,,,,,,,,,,,,,,,16712190,"Explore Elwynn Forest, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,1,0,3536,,,,,,,,,,,,,,,,,16712174,0,0
796,-1,-1,0,Resurrected by priests,,,,,,,,,,,,,,,,16712190,Resurrected by priests,,,,,,,,,,,,,,,,16712190,127,0,1,9,1,,,,,,,,,,,,,,,,,16712174,0,0
837,-1,-1,0,Arenas won,,,,,,,,,,,,,,,,16712190,Arenas won,,,,,,,,,,,,,,,,16712190,152,0,1,9,1,,,,,,,,,,,,,,,,,16712174,0,0
839,-1,-1,0,Battlegrounds played,,,,,,,,,,,,,,,,16712190,Battlegrounds played,,,,,,,,,,,,,,,,16712190,153,0,1,9,1,,,,,,,,,,,,,,,,,16712174,0,0
862,-1,-1,0,Explore Hellfire Peninsula,,,,,,,,,,,,,,,,16712190,"Explore  Hellfire Peninsula, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14779,10,1,0,3554,,,,,,,,,,,,,,,,,16712174,0,0
913,-1,-1,0,To Honor One's Elders,,,,,,,,,,,,,,,,16712190,Complete the Lunar Festival achievements listed below.,,,,,,,,,,,,,,,,16712190,155,30,1,0,3698,Title Reward: Elder,,,,,,,,,,,,,,,,16712190,0,0
927,-1,-1,0,Equipped epic items in item slots,,,,,,,,,,,,,,,,16712190,Equipped epic items in item slots,,,,,,,,,,,,,,,,16712190,191,0,1,33,1,,,,,,,,,,,,,,,,,16712174,0,0
932,-1,-1,0,Total 5-player dungeons entered,,,,,,,,,,,,,,,,16712190,Total 5-player dungeons entered,,,,,,,,,,,,,,,,16712190,14807,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
939,-1,-1,0,Hills Like White Elekk,,,,,,,,,,,,,,,,16712190,Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport.,,,,,,,,,,,,,,,,16712190,14862,10,1,0,2165,,,,,,,,,,,,,,,,,16712174,0,0
940,-1,-1,0,The Green Hills of Stranglethorn,,,,,,,,,,,,,,,,16712190,Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter.,,,,,,,,,,,,,,,,16712190,14861,10,1,0,916,,,,,,,,,,,,,,,,,16712174,0,0
946,-1,-1,0,The Argent Dawn,,,,,,,,,,,,,,,,16712190,Earn exalted status with the Argent Dawn.,,,,,,,,,,,,,,,,16712190,14864,15,1,0,1608,,,,,,,,,,,,,,,,,16712174,0,0
947,-1,-1,0,The Argent Crusade,,,,,,,,,,,,,,,,16712190,Earn exalted status with the Argent Crusade.,,,,,,,,,,,,,,,,16712190,14866,15,1,0,1672,,,,,,,,,,,,,,,,,16712174,0,0
972,-1,-1,0,Trick or Treat!,,,,,,,,,,,,,,,,16712190,Receive a handful of a candy from one of the Candy Buckets located in an inn.,,,,,,,,,,,,,,,,16712190,158,10,1,0,2652,,,,,,,,,,,,,,,,,16712174,0,0
1042,-1,-1,0,Number of hugs,,,,,,,,,,,,,,,,16712190,Number of hugs,,,,,,,,,,,,,,,,16712190,131,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
1057,-1,-1,0,Deaths in 2v2,,,,,,,,,,,,,,,,16712190,Deaths in 2v2,,,,,,,,,,,,,,,,16712190,123,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
1068,-1,542,0,Keli'dan the Breaker kills (The Blood Furnace),,,,,,,,,,,,,,,,16712190,Keli'dan the Breaker kills (The Blood Furnace),,,,,,,,,,,,,,,,16712190,14822,5,1,1,541,,,,,,,,,,,,,,,,,16712174,0,0
1091,-1,36,0,Edwin VanCleef kills (Deadmines),,,,,,,,,,,,,,,,16712190,Edwin VanCleef kills (Deadmines),,,,,,,,,,,,,,,,16712190,14821,5,1,1,2692,,,,,,,,,,,,,,,,,16712174,0,0
1149,-1,-1,0,Talent tree respecs,,,,,,,,,,,,,,,,16712190,Talent tree respecs,,,,,,,,,,,,,,,,16712190,130,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
1184,1,-1,0,Strange Brew,,,,,,,,,,,,,,,,16712190,Drink the Brewfest beers listed below.,,,,,,,,,,,,,,,,16712190,162,10,1,0,1780,,,,,,,,,,,,,,,,,16712174,0,0
1197,-1,-1,0,Total kills,,,,,,,,,,,,,,,,16712190,Total kills,,,,,,,,,,,,,,,,16712190,128,0,1,9,1,,,,,,,,,,,,,,,,,16712174,0,0
1199,-1,-1,0,Professions learned,,,,,,,,,,,,,,,,16712190,Professions learned,,,,,,,,,,,,,,,,16712190,132,0,1,33,1,,,,,,,,,,,,,,,,,16712174,0,0
1242,-1,574,0,Ingvar the Plunderer kills (Utgarde Keep),,,,,,,,,,,,,,,,16712190,Ingvar the Plunderer kills (Utgarde Keep),,,,,,,,,,,,,,,,16712190,14823,5,1,1,2813,,,,,,,,,,,,,,,,,2113864174,0,0
1264,-1,-1,0,Explore Borean Tundra,,,,,,,,,,,,,,,,16712190,"Explore Borean Tundra, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14780,10,1,0,3330,,,,,,,,,,,,,,,,,2113864174,0,0
1283,-1,-1,0,Classic Dungeonmaster,,,,,,,,,,,,,,,,16712190,Complete the classic dungeon achievements listed below.,,,,,,,,,,,,,,,,16712190,168,10,1,0,1949,,,,,,,,,,,,,,,,,2113864174,0,0
1308,-1,607,0,Strand of the Ancients Victory,,,,,,,,,,,,,,,,16712190,Win Strand of the Ancients.,,,,,,,,,,,,,,,,16712190,14881,10,1,0,3402,,,,,,,,,,,,,,,,,2113864172,0,0
1487,-1,-1,0,Total Killing Blows,,,,,,,,,,,,,,,,16712190,Total Killing Blows,,,,,,,,,,,,,,,,16712190,137,0,1,1,1,,,,,,,,,,,,,,,,,2080309740,0,0
1501,-1,-1,0,Total deaths from other players,,,,,,,,,,,,,,,,16712190,Total deaths from other players,,,,,,,,,,,,,,,,16712190,21,0,1,1,1,,,,,,,,,,,,,,,,,2113864172,0,0
1524,-1,-1,0,Cooking skill,,,,,,,,,,,,,,,,16712190,Cooking skill,,,,,,,,,,,,,,,,16712190,178,0,1,1,1,,,,,,,,,,,,,,,,,2080309740,0,0
1527,-1,-1,0,Highest Alchemy skill,,,,,,,,,,,,,,,,16712190,Highest Alchemy skill,,,,,,,,,,,,,,,,16712190,173,0,1,1,1,,,,,,,,,,,,,,,,,2080309740,0,0
1701,-1,-1,0,Be Mine!,,,,,,,,,,,,,,,,16712190,"Eat the eight ""Bag of Candies"" heart candies listed below.",,,,,,,,,,,,,,,,16712190,187,10,1,0,3196,,,,,,,,,,,,,,,,,2063532524,0,0
1717,-1,571,0,Wintergrasp Victory,,,,,,,,,,,,,,,,16712190,Win the battle for Wintergrasp.,,,,,,,,,,,,,,,,16712190,14901,10,1,0,187,,,,,,,,,,,,,,,,,2130641388,0,0
1791,-1,-1,0,Home Alone,,,,,,,,,,,,,,,,16712190,Use your Hearthstone while your orphan is with you.,,,,,,,,,,,,,,,,16712190,163,10,1,0,776,,,,,,,,,,,,,,,,,2080309740,0,0
1876,-1,615,0,Besting the Black Dragonflight (10 player),,,,,,,,,,,,,,,,16712190,Defeat Sartharion the Onyx Guardian in 10-player mode.,,,,,,,,,,,,,,,,16712190,14922,10,1,0,3254,,,,,,,,,,,,,,,,,2130641388,0,0
2676,-1,-1,0,I Found One!,,,,,,,,,,,,,,,,16712190,Find a Brightly Colored Egg.,,,,,,,,,,,,,,,,16712190,159,10,1,0,3202,,,,,,,,,,,,,,,,,2113864172,0,0
2756,-1,-1,0,Argent Aspiration,,,,,,,,,,,,,,,,16712190,Train to compete in the Argent Tournament by becoming an Aspirant for your race's faction.,,,,,,,,,,,,,,,,16712190,14941,10,1,0,3805,,,,,,,,,,,,,,,,,2113864172,1,0
2856,-1,603,0,Flame Leviathan kills (Ulduar 10 player),,,,,,,,,,,,,,,,16712190,Flame Leviathan kills (Ulduar 10 player),,,,,,,,,,,,,,,,16712190,14963,10,1,1,1700,,,,,,,,,,,,,,,,,2113864172,0,0
2886,-1,603,0,The Siege of Ulduar (10 player),,,,,,,,,,,,,,,,16712190,Defeat the bosses of The Siege area of Ulduar in 10-player mode.,,,,,,,,,,,,,,,,16712190,14961,10,1,0,3844,,,,,,,,,,,,,,,,,2113864172,0,0
2887,-1,603,0,The Siege of Ulduar (25 player),,,,,,,,,,,,,,,,16712190,Defeat the bosses of The Siege area of Ulduar in 25-player mode.,,,,,,,,,,,,,,,,16712190,14962,10,1,0,3844,,,,,,,,,,,,,,,,,2113864172,0,0
3579,-1,-1,0,"""FOOD FIGHT!""",,,,,,,,,,,,,,,,16712190,Bounce food off a fellow feaster's head at a Bountiful Table.,,,,,,,,,,,,,,,,16712190,14981,10,1,0,456,,,,,,,,,,,,,,,,,16775150,1,0
3776,-1,628,0,Isle of Conquest Victory,,,,,,,,,,,,,,,,16712190,Win Isle of Conquest.,,,,,,,,,,,,,,,,16712190,15003,10,1,0,4002,,,,,,,,,,,,,,,,,16718846,0,0
3916,-1,-1,0,Call of the Crusade (25 player),,,,,,,,,,,,,,,,16712190,Defeat every boss in the Trial of the Crusader in 25-player mode.,,,,,,,,,,,,,,,,16712190,15002,10,1,0,3744,,,,,,,,,,,,,,,,,150972924,0,0
3917,-1,-1,0,Call of the Crusade (10 player),,,,,,,,,,,,,,,,16712190,Defeat every boss in the Trial of the Crusader in 10-player mode.,,,,,,,,,,,,,,,,16712190,15001,10,1,0,3744,,,,,,,,,,,,,,,,,150972908,0,0
4018,-1,-1,0,Victories over Hunter Champion (Trial of the Champion),,,,,,,,,,,,,,,,16712190,Victories over Hunter Champion (Trial of the Champion),,,,,,,,,,,,,,,,16712190,15021,0,1,1,1,,,,,,,,,,,,,,,,,16712172,0,0
4531,-1,631,0,Storming the Citadel (10 player),,,,,,,,,,,,,,,,16712190,Defeat the first four bosses in Icecrown Citadel in 10-player mode.,,,,,,,,,,,,,,,,16712190,15041,10,1,0,4167,,,,,,,,,,,,,,,,,16712172,0,0
4604,-1,631,0,Storming the Citadel (25 player),,,,,,,,,,,,,,,,16712190,Defeat the first four bosses in Icecrown Citadel in 25-player mode.,,,,,,,,,,,,,,,,16712190,15042,10,1,0,4167,,,,,,,,,,,,,,,,,16712188,0,0
4713,-1,-1,0,Bronjahm kills (Forge of Souls),,,,,,,,,,,,,,,,16712190,,,,,,,,,,,,,,,,,16712188,15062,0,1,5,1,,,,,,,,,,,,,,,,,16712188,0,0
7,-1,-1,6,Level 20,,,,,,,,,,,,,,,,16712190,Reach level 20.,,,,,,,,,,,,,,,,16712190,92,10,2,4,3269,,,,,,,,,,,,,,,,,16712174,0,0
43,-1,-1,0,Explore Kalimdor,,,,,,,,,,,,,,,,16712190,Explore the regions of Kalimdor.,,,,,,,,,,,,,,,,16712190,97,25,2,0,3491,,,,,,,,,,,,,,,,,16712174,0,0
59,-1,529,0,Deaths in Arathi Basin,,,,,,,,,,,,,,,,16712190,Deaths in Arathi Basin,,,,,,,,,,,,,,,,16712190,124,0,2,1,1,,,,,,,,,,,,,,,,,16712174,0,0
95,-1,-1,0,Average quests completed per day,,,,,,,,,,,,,,,,16712190,Average quests completed per day,,,,,,,,,,,,,,,,16712190,133,0,2,73,0,,,,,,,,,,,,,,,,,16712174,0,98
122,-1,-1,121,Expert Cook,,,,,,,,,,,,,,,,16712190,Become an Expert Cook.,,,,,,,,,,,,,,,,16712190,170,10,2,0,1467,,,,,,,,,,,,,,,,,16712174,0,0
127,-1,-1,126,Expert Fisherman,,,,,,,,,,,,,,,,16712190,Become an Expert Fisherman.,,,,,,,,,,,,,,,,16712190,171,10,2,0,580,,,,,,,,,,,,,,,,,16712174,0,0
132,-1,-1,131,Expert in First Aid,,,,,,,,,,,,,,,,16712190,Become an Expert in first aid.,,,,,,,,,,,,,,,,16712190,172,10,2,0,504,,,,,,,,,,,,,,,,,16712174,0,0
155,-1,529,154,Arathi Basin Veteran,,,,,,,,,,,,,,,,16712190,Complete 100 victories in Arathi Basin.,,,,,,,,,,,,,,,,16712190,14802,10,2,0,3382,,,,,,,,,,,,,,,,,16712174,0,0
167,-1,489,166,Warsong Gulch Veteran,,,,,,,,,,,,,,,,16712190,Complete 100 victories in Warsong Gulch.,,,,,,,,,,,,,,,,16712190,14804,10,2,0,3388,,,,,,,,,,,,,,,,,16712174,0,0
209,-1,566,208,Eye of the Storm Veteran,,,,,,,,,,,,,,,,16712190,Complete 100 victories in Eye of the Storm.,,,,,,,,,,,,,,,,16712190,14803,10,2,0,3385,,,,,,,,,,,,,,,,,16712174,0,0
219,-1,30,218,Alterac Valley Veteran,,,,,,,,,,,,,,,,16712190,Complete 100 victories in Alterac Valley.,,,,,,,,,,,,,,,,16712190,14801,10,2,0,3378,,,,,,,,,,,,,,,,,16712174,0,0
252,-1,-1,0,With a Little Helper from My Friends,,,,,,,,,,,,,,,,16712190,Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.,,,,,,,,,,,,,,,,16712190,156,10,2,136,3679,,,,,,,,,,,,,,,,,16712174,0,0
260,-1,-1,0,Charming,,,,,,,,,,,,,,,,16712190,Create 12 Lovely Charm Bracelets.,,,,,,,,,,,,,,,,16712190,187,10,2,0,4134,,,,,,,,,,,,,,,,,16712174,0,0
271,-1,-1,0,Burning Hot Pole Dance,,,,,,,,,,,,,,,,16712190,Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.,,,,,,,,,,,,,,,,16712190,161,10,2,0,3262,,,,,,,,,,,,,,,,,16712174,0,0
288,-1,-1,0,Out With It,,,,,,,,,,,,,,,,16712190,Eat so many Tricky Treats that you get an upset tummy.,,,,,,,,,,,,,,,,16712190,158,10,2,0,97,,,,,,,,,,,,,,,,,16712174,0,0
318,-1,-1,0,Total deaths from opposite faction,,,,,,,,,,,,,,,,16712190,,,,,,,,,,,,,,,,,16712190,21,0,2,1,4,,,,,,,,,,,,,,,,,16712174,0,0
320,-1,-1,0,Duels lost,,,,,,,,,,,,,,,,16712190,Duels lost,,,,,,,,,,,,,,,,16712190,154,0,2,1,4,,,,,,,,,,,,,,,,,16712174,0,0
342,-1,-1,0,Epic items acquired,,,,,,,,,,,,,,,,16712190,Epic items acquired,,,,,,,,,,,,,,,,16712190,191,0,2,1,4,,,,,,,,,,,,,,,,,16712174,0,0
378,-1,-1,0,Most factions at Revered or higher,,,,,,,,,,,,,,,,16712190,Most factions at Revered or higher,,,,,,,,,,,,,,,,16712190,147,0,2,1,4,,,,,,,,,,,,,,,,,16712174,0,0
381,-1,-1,0,World Honorable Kills,,,,,,,,,,,,,,,,16712190,World Honorable Kills,,,,,,,,,,,,,,,,16712190,136,0,2,9,4,,,,,,,,,,,,,,,,,16712174,0,0
398,-1,-1,397,Mercilessly Dedicated,,,,,,,,,,,,,,,,16712190,Win 100 ranked arena matches at level 80.,,,,,,,,,,,,,,,,16712190,165,10,2,0,3593,,,,,,,,,,,,,,,,,16712174,0,0
467,-1,-1,0,Realm First! Level 80 Shaman,,,,,,,,,,,,,,,,16712190,First shaman on the realm to achieve level 80.,,,,,,,,,,,,,,,,16712190,81,0,2,256,38,,,,,,,,,,,,,,,,,16712174,0,0
478,-1,576,0,The Nexus,,,,,,,,,,,,,,,,16712190,Defeat the bosses in The Nexus.,,,,,,,,,,,,,,,,16712190,14806,10,2,0,3227,,,,,,,,,,,,,,,,,16712174,0,0
490,-1,576,0,Heroic: The Nexus,,,,,,,,,,,,,,,,16712190,Defeat The Nexus bosses on Heroic Difficulty.,,,,,,,,,,,,,,,,16712190,14921,10,2,0,3228,,,,,,,,,,,,,,,,,16712172,0,0
504,-1,-1,503,100 Quests Completed,,,,,,,,,,,,,,,,16712190,Complete 100 quests.,,,,,,,,,,,,,,,,16712190,96,10,2,0,3420,,,,,,,,,,,,,,,,,16712174,0,0
513,-1,-1,238,100 Honorable Kills,,,,,,,,,,,,,,,,16712190,Get 100 honorable kills.,,,,,,,,,,,,,,,,16712190,95,10,2,0,3455,,,,,,,,,,,,,,,,,16712174,0,0
523,-1,-1,522,5 Exalted Reputations,,,,,,,,,,,,,,,,16712190,Raise 5 reputations to Exalted.,,,,,,,,,,,,,,,,16712190,201,10,2,0,3609,,,,,,,,,,,,,,,,,16712174,0,0
527,-1,-1,0,Largest hit received,,,,,,,,,,,,,,,,16712190,Largest hit received,,,,,,,,,,,,,,,,16712190,141,0,2,1,1,,,,,,,,,,,,,,,,,16712174,0,0
594,-1,-1,0,Deaths from Hogger,,,,,,,,,,,,,,,,16712190,Deaths from Hogger,,,,,,,,,,,,,,,,16712190,126,0,2,1,1,,,,,,,,,,,,,,,,,16712174,0,0
606,-1,-1,605,5 Coins of Ancestry,,,,,,,,,,,,,,,,16712190,Receive 5 Coins of Ancestry.,,,,,,,,,,,,,,,,16712190,160,10,2,0,2717,,,,,,,,,,,,,,,,,16712174,0,0
624,-1,615,0,Less Is More (10 player),,,,,,,,,,,,,,,,16712190,Defeat Sartharion the Onyx Guardian and the Twilight Drakes with fewer than 9 players in 10-player mode.,,,,,,,,,,,,,,,,16712190,14922,10,2,0,3253,,,,,,,,,,,,,,,,,16712172,0,0
627,-1,-1,0,Explore Dun Morogh,,,,,,,,,,,,,,,,16712190,"Explore Dun Morogh, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,2,0,3531,,,,,,,,,,,,,,,,,16712174,0,0
628,-1,-1,0,Deadmines,,,,,,,,,,,,,,,,16712190,Defeat Edwin VanCleef.,,,,,,,,,,,,,,,,16712190,14808,10,2,0,3627,,,,,,,,,,,,,,,,,16712172,1,0
