ID,ReputationID,Name
829,-1,"Ogre (Captain Kromcrush)"
849,-1,"Spirit Guide - Horde"
869,-1,Jaedenar
889,46,"Warsong Outriders"
890,45,"Silverwing Sentinels"
891,47,"Alliance Forces"
892,48,"Horde Forces"
893,-1,"Revantusk Trolls"
909,50,"Darkmoon Faire"
910,54,"Brood of Nozdormu"
911,55,"Silvermoon City"
912,-1,"Might of Kalimdor"
914,-1,"PLAYER, Blood Elf"
915,-1,"Armies of C'Thun"
916,-1,"Silithid Attackers"
917,-1,"The Ironforge Brigade"
918,-1,"RC Enemies"
919,-1,"RC Objects"
920,-1,Red
921,-1,Blue
922,56,Tranquillien
923,-1,Farstriders
924,-1,DEPRECATED
925,-1,Sunstriders
926,-1,"Magister's Guild"
927,-1,"PLAYER, Draenei"
928,-1,"Scourge Invaders"
929,-1,"Bloodmaul Clan"
930,49,Exodar
931,-1,"Test Faction (not a real faction)"
932,58,"The Aldor"
933,60,"The Consortium"
934,62,"The Scryers"
935,39,"The Sha'tar"
936,59,"Shattrath City"
937,-1,"Troll, Forest"
938,-1,"The Omenai"
939,-1,DEPRECATED
940,-1,"The Sons of Lothar"
941,61,"The Mag'har"
942,64,"Cenarion Expedition"
943,-1,"Fel Orc"
944,-1,"Fel Orc Ghost"
945,-1,"Sons of Lothar Ghosts"
946,38,"Honor Hold"
947,37,Thrallmar
948,86,"Test Faction 2"
949,85,"Test Faction 1"
950,-1,"ToWoW - Flag"
951,-1,"ToWoW - Flag Trigger Alliance (DND)"
952,87,"Test Faction 3"
953,-1,"Test Faction 4"
954,-1,"ToWoW - Flag Trigger Horde (DND)"
955,-1,Broken
956,-1,Ethereum
957,-1,"Earth Elemental"
958,-1,"Fighting Robots"
959,-1,"Actor Good"
960,-1,"Actor Evil"
961,-1,"Stillpine Furbolg"
962,-1,"Crazed Owlkin"
963,-1,"Chess Alliance"
964,-1,"Chess Horde"
965,-1,"Monster Spar"
966,-1,"Monster Spar Buddy"
967,63,"The Violet Eye"
968,-1,Sunhawks
969,-1,"Hand of Argus"
970,65,Sporeggar
971,-1,"Fungal Giant"
972,-1,"Spore Bat"
973,-1,"Monster, Predator"
974,-1,"Monster, Prey"
975,-1,"Void Anomaly"
976,-1,"Hyjal Defenders"
977,-1,"Hyjal Invaders"
978,66,Kurenai
979,-1,"Earthen Ring"
980,43,"The Burning Crusade"
981,-1,Arakkoa
982,-1,"Zangarmarsh Banner (Alliance)"
983,-1,"Zangarmarsh Banner (Horde)"
984,-1,"Zangarmarsh Banner (Neutral)"
985,-1,"Caverns of Time - Thrall"
986,-1,"Caverns of Time - Durnholde"
987,-1,"Caverns of Time - Southshore Guards"
988,-1,"Shadow Council Covert"
989,67,"Keepers of Time"
990,57,"The Scale of the Sands"
991,-1,"Dark Portal Defender, Alliance"
992,-1,"Dark Portal Defender, Horde"
993,-1,"Dark Portal Attacker, Legion"
994,-1,"Inciter Trigger"
995,-1,"Inciter Trigger 2"
996,-1,"Inciter Trigger 3"
997,-1,"Inciter Trigger 4"
998,-1,"Inciter Trigger 5"
999,-1,"Mana Creature"
1000,-1,"Khadgar's Servant"
1001,-1,"Bladespire Clan"
1002,-1,"Ethereum Sparbuddy"
1003,-1,Protectorate
1004,-1,"Arcane Annihilator (DNR)"
1005,68,"Friendly, Hidden"
1006,-1,"Kirin'Var - Dathric"
1007,-1,"Kirin'Var - Belmara"
1008,-1,"Kirin'Var - Luminrath"
1009,-1,"Kirin'Var - Cohlien"
1010,-1,"Servant of Illidan"
1011,69,"Lower City"
1012,70,"Ashtongue Deathsworn"
1013,-1,"Spirits of Shadowmoon 1"
1014,-1,"Spirits of Shadowmoon 2"
1015,71,Netherwing
1016,-1,Wyrmcult
1017,-1,Treant
1018,-1,"Leotheras Demon I"
1019,-1,"Leotheras Demon II"
1020,-1,"Leotheras Demon III"
1021,-1,"Leotheras Demon IV"
1022,-1,"Leotheras Demon V"
1023,-1,Azaloth
1024,-1,"Rock Flayer"
1025,-1,"Flayer Hunter"
1026,-1,"Shadowmoon Shade"
1027,-1,"Legion Communicator"
1028,-1,"Ravenswood Ancients"
1029,-1,"Chess, Friendly to All Chess"
1030,-1,"Black Temple Gates - Illidari"
1031,72,"Sha'tari Skyguard"
1032,-1,"Area 52"
1033,-1,Maiev
1034,-1,"Skettis Shadowy Arakkoa"
1035,-1,"Skettis Arakkoa"
1036,-1,"Dragonmaw Enemy"
1037,88,"Alliance Vanguard"
1038,73,"Ogri'la"
1039,-1,Ravager
1040,-1,REUSE
1041,-1,Frenzy
1042,-1,"Skyguard Enemy"
1043,-1,"Skunk, Petunia"
1044,-1,"Theramore Deserter"
1045,-1,Vrykul
1046,-1,"Northsea Pirates"
1047,-1,Tuskarr
1048,-1,UNUSED
1049,-1,"Troll, Amani"
1050,74,"Valiance Expedition"
1051,-1,UNUSED
1052,75,"Horde Expedition"
1053,-1,Westguard
1054,-1,"Spotted Gryphon"
1055,-1,"Tamed Plaguehound"
1056,-1,"Vrykul (Ancient Spirit 1)"
1057,-1,"Vrykul (Ancient Siprit 2)"
1058,-1,"Vrykul (Ancient Siprit 3)"
1059,-1,"CTF - Flag - Alliance"
1060,-1,Test
1061,-1,vrykul
1062,-1,"Vrykul Gladiator"
1063,-1,"Valgarde Combatant"
1064,76,"The Taunka"
1065,-1,"Monster, Zone Force Reaction 1"
1066,-1,"Monster, Zone Force Reaction 2"
1067,77,"The Hand of Vengeance"
1068,78,"Explorers' League"
1069,-1,"Ram Racing Powerup DND"
1070,-1,"Ram Racing Trap DND"
1071,-1,"Craig's Squirrels"
1072,-1,REUSE
1073,79,"The Kalu'ak"
1074,-1,"Holiday - Water Barrel"
1075,-1,"Holiday - Generic"
1076,-1,"Iron Dwarves"
1077,80,"Shattered Sun Offensive"
1078,-1,"Fighting Vanity Pet"
1079,-1,"Murloc, Winterfin"
1080,-1,"Friendly, Force Reaction"
1081,-1,"Object, Force Reaction"
1082,82,REUSE
1083,-1,REUSE
1084,-1,"Vrykul, Sea"
1085,81,"Warsong Offensive"
1086,-1,Poacher
1087,-1,"Holiday Monster"
1088,-1,"Furbolg, Redfang"
1089,-1,"Furbolg, Frostpaw"
1090,84,"Kirin Tor"
1091,83,"The Wyrmrest Accord"
1092,-1,"Azjol-Nerub"
1093,-1,REUSE
1094,90,"The Silver Covenant"
1095,-1,"Grizzly Hills Trapper"
1096,-1,REUSE
1097,89,"Wrath of the Lich King"
1098,91,"Knights of the Ebon Blade"
1099,-1,"Wrathgate Scourge"
1100,-1,"Wrathgate Alliance"
1101,-1,"Wrathgate Horde"
1102,-1,"CTF - Flag - Horde"
1103,-1,"CTF - Flag - Neutral"
1104,92,"Frenzyheart Tribe"
1105,93,"The Oracles"
1106,94,"Argent Crusade"
1107,-1,"Troll, Drakkari"
1108,-1,"CoT Arthas"
1109,-1,"CoT Stratholme Citizen"
1110,-1,"CoT Scourge"
1111,-1,Freya
1112,-1,"Mount - Taxi - Alliance"
1113,-1,"Mount - Taxi - Horde"
1114,-1,"Mount - Taxi - Neutral"
1115,-1,"Elemental, Water"
1116,-1,"Elemental, Air"
1117,95,"Sholazar Basin"
1118,96,Classic
1119,97,"The Sons of Hodir"
1120,-1,"Iron Giants"
1121,-1,"Frost Vrykul"
1122,-1,Earthen
1123,-1,"Monster Referee"
1124,98,"The Sunreavers"
1125,-1,Hyldsmeet
1126,99,"The Frostborn"
1127,-1,"Orgrimmar (Alex Test)"
1136,100,"Tranquillien Conversion"
1137,101,"Wintersaber Conversion"
1145,-1,"Hates Everything"
1154,102,"Silver Covenant Conversion"
1155,103,"Sunreavers Conversion"
1156,104,"The Ashen Verdict"
1159,-1,"CTF - Flag - Alliance 2"
1160,-1,"CTF - Flag - Horde 2"
