ID,SpellID,GlyphSlotFlags,SpellIconID
391,56808,0,3098
392,56813,0,3128
393,56800,0,3125
394,56818,0,3123
395,56820,0,3114
396,56806,0,3116
397,56799,0,3126
398,56802,0,3113
399,56803,0,3115
400,56804,0,3129
401,56812,0,3119
402,56814,0,3118
403,56809,0,3110
404,56807,0,3124
405,56819,0,3312
406,56801,0,3121
407,56798,0,3122
408,56805,0,3120
409,56821,0,3127
410,56810,0,3112
411,56811,0,3117
431,57856,1,3123
432,57858,1,3119
433,57855,1,3113
434,57857,1,3128
435,57862,1,3110
436,58133,1,3113
438,58132,1,3116
439,57866,1,3119
440,57870,1,3114
441,57903,1,3120
442,57902,1,3120
443,57904,1,3124
444,57900,1,3128
445,57924,1,3129
446,57926,1,3125
447,57927,1,3115
448,57928,1,3112
449,58136,1,3116
450,52648,1,3117
451,57925,1,3121
452,57937,1,3124
453,57958,1,3122
454,57979,1,3123
455,57955,1,3098
456,57947,1,3312
457,57954,1,3110
458,57985,1,3312
459,57987,1,3123
460,58009,1,3118
461,57986,1,3112
462,58015,1,3129
463,58228,1,3119
464,58032,1,3113
465,58027,1,3127
466,58017,1,3115
467,58033,1,3125
468,58039,1,3129
469,58038,1,3116
470,58058,1,3118
471,58135,1,3126
472,58134,1,3126
473,58059,1,3121
474,58055,1,3117
475,58063,1,3098
476,58057,1,3122
477,58079,1,3126
478,58070,1,3127
479,58081,1,3114
480,58080,1,3115
481,58107,1,3126
482,58094,1,3118
483,58095,1,3110
484,58096,1,3124
485,58097,1,3125
486,58099,1,3126
487,58098,1,3122
488,58104,1,3117
489,58368,0,3118
490,58369,0,3114
491,58355,0,3125
492,58366,0,3112
493,58388,0,3124
494,58367,0,3117
495,58372,0,3115
496,58357,0,3126
497,58377,0,3312
498,58365,0,3127
499,58386,0,3110
500,58385,0,3113
501,58364,0,3122
502,58375,0,3121
503,58376,0,3098
504,58387,0,3119
505,58384,0,3129
506,58353,0,3116
507,58356,0,3120
508,58382,0,3123
509,58370,0,3128
511,58613,0,3098
512,58623,0,3120
513,58616,0,3114
514,58640,1,3114
515,58673,0,3125
516,58620,0,3118
518,58677,1,3312
519,62259,0,3126
520,58629,0,3123
521,58647,0,3113
522,58680,1,3116
523,58625,0,3312
524,58631,0,3115
525,58671,0,3124
526,58657,0,3119
527,58686,0,3123
528,58669,0,3116
529,58642,0,3110
530,58618,0,3121
531,58635,0,3122
532,58676,0,3127
551,59219,1,3112
552,59289,1,3098
553,59309,1,3113
554,59307,1,3128
555,60200,1,3127
556,59327,0,3112
557,59332,0,3117
558,59336,0,3128
559,56420,0,3098
560,56414,0,3120
561,56416,0,3116
571,60200,1,3129
591,61205,0,3125
611,62126,1,3129
612,62132,1,3128
613,62135,1,3098
631,62080,0,3098
651,62210,0,3126
671,62969,0,3110
672,62970,0,3112
673,62971,0,3098
674,63055,0,3113
675,63056,0,3114
676,63057,0,3115
677,63065,0,3116
691,63066,0,3117
692,63067,0,3118
693,63068,0,3119
694,63069,0,3120
695,63086,0,3122
696,63090,0,3121
697,63091,0,3123
698,63092,0,3124
699,63093,0,3125
700,63095,0,3126
701,63218,0,3127
702,63219,0,3128
703,63220,0,3312
704,63222,0,3129
705,63223,0,3110
706,63224,0,3112
707,63225,0,3098
708,63229,0,3113
709,63231,0,3114
710,63235,0,3115
711,63237,0,3116
712,63246,0,3117
713,63248,0,3118
714,63249,0,3119
715,63252,0,3120
716,63253,0,3122
731,63254,0,3121
732,63256,0,3123
733,63268,0,3124
734,63269,0,3125
735,63270,0,3126
736,63271,0,3127
737,63273,0,3128
751,63279,0,3312
752,63280,0,3129
753,63291,0,3110
754,63298,0,3112
755,63302,0,3098
756,63303,0,3113
757,63304,0,3114
758,63309,0,3115
759,63310,0,3116
760,63320,0,3117
761,63312,0,3118
762,63324,0,3119
763,63325,0,3120
764,63326,0,3122
765,63327,0,3121
766,63328,0,3123
767,63329,0,3124
768,63330,0,3125
769,63331,0,3126
770,63332,0,3127
771,63333,0,3128
772,63334,0,3312
773,63335,0,3129
791,64199,0,3129
811,65243,0,3117
831,67598,0,3122
851,68164,1,3118
871,70937,0,3119
891,71013,0,3112
911,70947,0,3312
